id,timestamp,severidade,tipo_evento,status_sistema,ip_origem,parecer_soc,compliance_lgpd,acao_soar_gerada,analise_trafego,modelo_ia_utilizado,relatorio_normativo,log_raw,origem
136,2026-09-01 21:28:15,CRITICO,Ataque Detectado (Brute Force SSH),ALERTA / SOB ATAQUE,45.33.32.156,"O log indica um ataque de força bruta contra o usuário root do host 192.168.15.3. A tentativa de conexão foi feita por um endereço IP estrangeiro (45.33.32.156), provavelmente de um atacante autômato. Este tipo de ataque aumenta drasticamente a vulnerabilidade de segurança do sistema e pode levar a uma brecha de segurança, permitindo que um invasor possa se autenticar como root.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),[KILL SWITCH ERROR] Erro SSH ao encerrar sessão: timed out | [SOAR CRITICAL] Erro de conexão SSH UFW: timed out,"Provedor: Akamai Technologies, Inc. | Local: Fremont/United States | Serviços expostos na origem (45.33.32.156): Portas [22, 80]",qwen2.5:3b,"Parecer: O log indica um ataque de força bruta contra o usuário root do host 192.168.15.3. A tentativa de conexão foi feita por um endereço IP estrangeiro (45.33.32.156), provavelmente de um atacante autômato. Este tipo de ataque aumenta drasticamente a vulnerabilidade de segurança do sistema e pode levar a uma brecha de segurança, permitindo que um invasor possa se autenticar como root.
Recomendação: A ação preventiva recomendada é implementar medidas de segurança adicionais, como uma forte política de senha e a implementação de um firewall para bloquear acesso não autorizado. Também é importante atualizar todas as ferramentas e sistemas do sistema para evitar vulnerabilidades conhecidas.",Failed password for invalid user root from 45.33.32.156 port 30191 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
135,2026-09-01 21:27:21,INFO,Acesso SSH Autorizado,OPERACIONAL,103.253.145.22,"Este log indica que o host 192.168.15.3 recebeu uma conexão SSH via chave pública de um host remoto com IP 103.253.145.22, localizado em Singapore. Esta conexão foi aceita, indicando que a chave pública do remoto está registrada e permitida no host 192.168.15.3. Nesse caso, é considerado um evento de segurança de nível de informação, pois normalmente, a autenticação SSH com chave pública é usada para manter a segurança da conexão SSH. No entanto, não há sinais de atividade suspeita ou anomalia que justifique um nível de severidade mais alto.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),Sessão Monitorada,"Provedor: DIGITALOCEAN | Local: Singapore/Singapore | Serviços expostos na origem (103.253.145.22): Portas [22, 80, 443]",qwen2.5:3b,"Parecer: Este log indica que o host 192.168.15.3 recebeu uma conexão SSH via chave pública de um host remoto com IP 103.253.145.22, localizado em Singapore. Esta conexão foi aceita, indicando que a chave pública do remoto está registrada e permitida no host 192.168.15.3. Nesse caso, é considerado um evento de segurança de nível de informação, pois normalmente, a autenticação SSH com chave pública é usada para manter a segurança da conexão SSH. No entanto, não há sinais de atividade suspeita ou anomalia que justifique um nível de severidade mais alto.
Recomendação: A recomendação neste caso seria manter os registros de conexões SSH e as atualizações das chaves públicas para garantir que apenas chaves autorizadas possam ser usadas. Além disso, monitorar o comportamento dos usuários e a frequência de conexões SSH pode ajudar a identificar possíveis tentativas de ataque.",Accepted publickey for servidor from 103.253.145.22 port 41024 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
134,2026-09-01 21:26:30,INFO,Acesso SSH Autorizado,OPERACIONAL,45.33.32.156,"O evento detectado é um acesso público de chave SSH a partir da IP 45.33.32.156, que se localiza em Fremont, Estados Unidos. Este acesso foi aceito pelo servidor local com o IP 192.168.15.3. Este tipo de acesso é considerado normal quando ocorre a partir de um provedor de servidores confiável. No entanto, é recomendado manter o firewall atualizado e os parâmetros de acesso de chave SSH definidos corretamente para garantir a segurança do sistema.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),Sessão Monitorada,"Provedor: Akamai Technologies, Inc. | Local: Fremont/United States | Serviços expostos na origem (45.33.32.156): Portas [22, 80]",qwen2.5:3b,"Parecer: O evento detectado é um acesso público de chave SSH a partir da IP 45.33.32.156, que se localiza em Fremont, Estados Unidos. Este acesso foi aceito pelo servidor local com o IP 192.168.15.3. Este tipo de acesso é considerado normal quando ocorre a partir de um provedor de servidores confiável. No entanto, é recomendado manter o firewall atualizado e os parâmetros de acesso de chave SSH definidos corretamente para garantir a segurança do sistema.
Recomendação: Atualizar o firewall do servidor para garantir que o acesso SSH para a IP 45.33.32.156 seja permitido somente se a chave SSH for conhecida e confiável. Além disso, verificar se o parâmetro de acesso de chave SSH do servidor está configurado de forma que somente as chaves conhecidas possam ser usadas.",Accepted publickey for servidor from 45.33.32.156 port 50537 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
133,2026-09-01 21:25:26,ALTO,Ataque Detectado (Brute Force SSH),ALERTA / SOB ATAQUE,45.33.32.156,"O evento de segurança no host 192.168.15.3 registrou uma tentativa de login falhada para o usuário root de uma máquina remota com IP 45.33.32.156. Este incidente é considerado grave pois representa um ataque de preenchimento de senha, uma técnica de ataque conhecida e eficaz que tenta aceder a sistemas sem autorização. O atacante tentou logar no host usando o usuário root com um IP externo, que está localizado em Fremont, Estados Unidos. Como tal, este incidente sugere uma vulnerabilidade de segurança que precisa ser corrigida imediatamente.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),[KILL SWITCH ERROR] Erro SSH ao encerrar sessão: timed out | [SOAR CRITICAL] Erro de conexão SSH UFW: timed out,"Provedor: Akamai Technologies, Inc. | Local: Fremont/United States | Serviços expostos na origem (45.33.32.156): Portas [22, 80]",qwen2.5:3b,"Parecer: O evento de segurança no host 192.168.15.3 registrou uma tentativa de login falhada para o usuário root de uma máquina remota com IP 45.33.32.156. Este incidente é considerado grave pois representa um ataque de preenchimento de senha, uma técnica de ataque conhecida e eficaz que tenta aceder a sistemas sem autorização. O atacante tentou logar no host usando o usuário root com um IP externo, que está localizado em Fremont, Estados Unidos. Como tal, este incidente sugere uma vulnerabilidade de segurança que precisa ser corrigida imediatamente.
Recomendação: Implementar medidas de proteção de preenchimento de senha eficazes, como o uso de regras de firewall, políticas de acesso, e o uso de protocolos de segurança robustos como SSH com certificados e senhas fortes. Além disso, redefinir o senha root imediatamente e validar todos os controles de acesso no sistema.",Failed password for invalid user root from 45.33.32.156 port 44954 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
132,2026-09-01 21:24:35,INFO,Acesso SSH Autorizado,OPERACIONAL,185.220.101.5,"O log indica que o host 192.168.15.3 recebeu uma conexão SSH proveniente de um IP externo (185.220.101.5), proveniente de Brandenburg an der Havel, Germany. Esta conexão foi aceita com uma chave pública, que é um padrão seguro para autenticação SSH. Não há evidência de ameaça ou atividade suspeita no momento deste registro. No entanto, recomenda-se manter as atualizações do sistema e as verificadas de segurança para proteção contra ataques de força bruta ou outros atentados.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),Sessão Monitorada,Provedor: Stiftung Erneuerbare Freiheit | Local: Brandenburg an der Havel/Germany | Sondagem concluída em 185.220.101.5. Nenhum serviço público detectado.,qwen2.5:3b,"Parecer: O log indica que o host 192.168.15.3 recebeu uma conexão SSH proveniente de um IP externo (185.220.101.5), proveniente de Brandenburg an der Havel, Germany. Esta conexão foi aceita com uma chave pública, que é um padrão seguro para autenticação SSH. Não há evidência de ameaça ou atividade suspeita no momento deste registro. No entanto, recomenda-se manter as atualizações do sistema e as verificadas de segurança para proteção contra ataques de força bruta ou outros atentados.
Recomendação: Manter atualizados o sistema e as ferramentas de segurança, bem como verificar e aplicar atualizações das chaves públicas SSH.",Accepted publickey for servidor from 185.220.101.5 port 38698 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
131,2026-09-01 21:23:37,ALTO,Ataque Detectado (Brute Force SSH),ALERTA / SOB ATAQUE,185.220.101.5,"O log indica um ataque de força bruta em um host com IP 192.168.15.3, onde um usuário invalido (root) tentou acessar o sistema a partir do IP 185.220.101.5. Esta tentativa de login falhou, mas representa um alto risco de comprometimento do sistema.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),[KILL SWITCH ERROR] Erro SSH ao encerrar sessão: timed out | [SOAR CRITICAL] Erro de conexão SSH UFW: timed out,Provedor: Stiftung Erneuerbare Freiheit | Local: Brandenburg an der Havel/Germany | Sondagem concluída em 185.220.101.5. Nenhum serviço público detectado.,qwen2.5:3b,"Parecer: O log indica um ataque de força bruta em um host com IP 192.168.15.3, onde um usuário invalido (root) tentou acessar o sistema a partir do IP 185.220.101.5. Esta tentativa de login falhou, mas representa um alto risco de comprometimento do sistema.
Recomendação: Implementar um sistema de detecção e reação de ameaças (OTDR) para monitorar tentativas de login e alertar os administradores sobre qualquer tentativa de força bruta. Também é recomendado implementar um firewall que bloqueie as tentativas de conexão de login não autorizadas, além de atualizar e manter atualizados os sistemas operacionais e programas de software. Implementar um sistema de proteção contra força bruta para o usuário root também é crucial.",Failed password for invalid user root from 185.220.101.5 port 31623 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
130,2026-09-01 21:22:37,ALTO,Ataque Detectado (Brute Force SSH),ALERTA / SOB ATAQUE,185.220.101.5,"O evento de segurança no host 192.168.15.3 registrou um falha de autenticação para um usuário invalido (root) do IP de origem 185.220.101.5, que está localizado em Brandenburg an der Havel, Germany. Esta tentativa de acesso foi realizada através da porta 36282 utilizando o protocolo SSH2. Este tipo de ataque de acesso remoto é altamente preocupante e pode representar um risco significativo à segurança do sistema.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),[KILL SWITCH ERROR] Erro SSH ao encerrar sessão: timed out | [SOAR CRITICAL] Erro de conexão SSH UFW: timed out,Provedor: Stiftung Erneuerbare Freiheit | Local: Brandenburg an der Havel/Germany | Sondagem concluída em 185.220.101.5. Nenhum serviço público detectado.,qwen2.5:3b,"Parecer: O evento de segurança no host 192.168.15.3 registrou um falha de autenticação para um usuário invalido (root) do IP de origem 185.220.101.5, que está localizado em Brandenburg an der Havel, Germany. Esta tentativa de acesso foi realizada através da porta 36282 utilizando o protocolo SSH2. Este tipo de ataque de acesso remoto é altamente preocupante e pode representar um risco significativo à segurança do sistema.
Recomendação: Implementar medidas de proteção avançadas como autenticação de dois fatores (2FA) para contas root e ativar configurações de firewall para bloquear ou restringir tentativas de acesso de origem estranha. Além disso, realizar uma auditoria de vulnerabilidades para identificar e remediar possíveis falhas de segurança que podem facilitar esse tipo de ataque.",Failed password for invalid user root from 185.220.101.5 port 36282 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
129,2026-09-01 21:21:40,ALTO,Ataque Detectado (Brute Force SSH),ALERTA / SOB ATAQUE,192.168.15.1,"O log indica um ataque de força bruta contra o usuário root no host 192.168.15.3 através da porta SSH. O ataque é realizado por um endereço de origem não autorizado (192.168.15.1), o que sugere um ataque de força bruta, onde um atacante está tentando realizar uma série de tentativas de login com diferentes credenciais, muitas das quais provavelmente são inválidas, para encontrar as credenciais corretas e acessar o host.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),[KILL SWITCH ERROR] Erro SSH ao encerrar sessão: timed out | [SOAR CRITICAL] Erro de conexão SSH UFW: timed out,"Provedor: Infraestrutura Interna | Local: Local (LAN)/Rede Privada / Intranet | Serviços expostos na origem (192.168.15.1): Portas [22, 80]",qwen2.5:3b,"Parecer: O log indica um ataque de força bruta contra o usuário root no host 192.168.15.3 através da porta SSH. O ataque é realizado por um endereço de origem não autorizado (192.168.15.1), o que sugere um ataque de força bruta, onde um atacante está tentando realizar uma série de tentativas de login com diferentes credenciais, muitas das quais provavelmente são inválidas, para encontrar as credenciais corretas e acessar o host.
Recomendação: Implementar medidas de segurança adicionais, como autenticação de dois fatores, bloquear o acesso SSH temporariamente para a porta específica (48081) e/ou alocar um endereço de IP específico para o serviço SSH.",Failed password for invalid user root from 192.168.15.1 port 48081 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
128,2026-09-01 21:20:55,INFO,Acesso SSH Autorizado,OPERACIONAL,192.168.15.7,"O log indica que um host (192.168.15.3) aceitou uma conexão SSH de uma nova IP (192.168.15.7), que está no mesmo sub-rede LAN. Isso pode indicar uma conexão a partir de um dispositivo desconhecido ou potencialmente malicioso.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),Sessão Monitorada,Provedor: Infraestrutura Interna | Local: Local (LAN)/Rede Privada / Intranet | Sondagem concluída em 192.168.15.7. Nenhum serviço público detectado.,qwen2.5:3b,"Parecer: O log indica que um host (192.168.15.3) aceitou uma conexão SSH de uma nova IP (192.168.15.7), que está no mesmo sub-rede LAN. Isso pode indicar uma conexão a partir de um dispositivo desconhecido ou potencialmente malicioso.
Recomendação: Verificar o estado atual do sistema 192.168.15.3. Realizar verificações de segurança e atualizações conforme necessário. Considerar a implementação de mecanismos de detecção de ameaças, como firewalls ou antivírus, para monitorar a entrada SSH.",Accepted publickey for servidor from 192.168.15.7 port 55733 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
127,2026-09-01 21:20:07,INFO,Acesso SSH Autorizado,OPERACIONAL,192.168.15.1,"Este evento de segurança refere-se a um acesso permitido por chave pública a um host (192.168.15.3) de um usuário desconhecido (192.168.15.1) através de uma conexão SSH. Este evento não constitui uma ameaça imediata ao sistema, pois a chave foi aprovada. No entanto, é importante manter atualizados os certificados SSH e as práticas de gerenciamento de chaves para evitar riscos futuros.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),Sessão Monitorada,"Provedor: Infraestrutura Interna | Local: Local (LAN)/Rede Privada / Intranet | Serviços expostos na origem (192.168.15.1): Portas [22, 80]",qwen2.5:3b,"Parecer: Este evento de segurança refere-se a um acesso permitido por chave pública a um host (192.168.15.3) de um usuário desconhecido (192.168.15.1) através de uma conexão SSH. Este evento não constitui uma ameaça imediata ao sistema, pois a chave foi aprovada. No entanto, é importante manter atualizados os certificados SSH e as práticas de gerenciamento de chaves para evitar riscos futuros.
Recomendação: Atualizar as chaves SSH do sistema. Garantir que as chaves públicas dos usuários conhecidos sejam validadas corretamente e atualizar as políticas de gerenciamento de chaves para evitar a aprovação inadvertida de chaves públicas desconhecidas.",Accepted publickey for servidor from 192.168.15.1 port 31066 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
126,2026-09-01 21:19:20,INFO,Acesso SSH Autorizado,OPERACIONAL,192.168.15.12,"O evento detectado indica uma conexão SSH com sucesso do host 192.168.15.12 para o host 192.168.15.3. Esta conexão é resultante de uma chave pública válida e não representa um ataque, mas sim uma conexão legítima. No entanto, a identificação dos hosts é importante para monitoramento e auditoria.",Auditado em Ambiente Linux Turbo v1.5 (Art. 46 LGPD),Sessão Monitorada,Provedor: Infraestrutura Interna | Local: Local (LAN)/Rede Privada / Intranet | Sondagem concluída em 192.168.15.12. Nenhum serviço público detectado.,qwen2.5:3b,"Parecer: O evento detectado indica uma conexão SSH com sucesso do host 192.168.15.12 para o host 192.168.15.3. Esta conexão é resultante de uma chave pública válida e não representa um ataque, mas sim uma conexão legítima. No entanto, a identificação dos hosts é importante para monitoramento e auditoria.
Recomendação: Não há recomendação de ação preventiva neste caso, pois não há evidência de atividade suspeita. No entanto, a auditoria de logs deve ser aprimorada para incluir mais detalhes sobre conexões SSH, como o protocolo de comunicação utilizado e o tempo de conexão, para uma melhor análise futura.",Accepted publickey for servidor from 192.168.15.12 port 51270 ssh2,Linux Ubuntu Target (Dynamic Ingestion)
